name,City,Coordinates
"Cafe’ de Bangkok- Gilbert, AZ",Gilbert,"33.37192, -111.78956"
Postino East,Gilbert,"33.35535, -111.78992"
Joe's Farm Grill,Gilbert,"33.32205, -111.72563"
Tryst Cafe,Gilbert,"33.27941, -111.78683"
Morning Kick,Gilbert,"33.23435, -111.72294"
Osaka Japanese Steakhouse,Gilbert,"33.28298, -111.78809"
Eatalio Pasta & Wine,Gilbert,"33.30696, -111.75186"
High Tide Seafood Bar and Grill,Gilbert,"33.30475, -111.75715"
The Porch,Gilbert,"33.35582, -111.78992"
Blue 32 Sports Grill,Gilbert,"33.30969, -111.75799"
The Gilbert House,Gilbert,"33.34335, -111.78934"
Sal's Gilbert Pizza,Gilbert,"33.32914, -111.79057"
Hong Kong Kitchen,Gilbert,"33.25561, -111.72049"
Egg N' Joe (SanTan Village),Gilbert,"33.29716, -111.74846"
The Uprooted Kitchen,Gilbert,"33.32210, -111.72661"
Moreno's Mexican Grill,Gilbert,"33.24043, -111.72001"
Rocky Point Seafood Restaurant,Gilbert,"33.29347, -111.78908"
ProteinHouse,Gilbert,"33.30191, -111.72122"
Vito’s Pizza & Italian Ristorante,Gilbert,"33.27191, -111.71847"
Henhouse Cafe,Gilbert,"33.30504, -111.76791"
Cuisine & Wine Bistro,Chandler,"33.23408, -111.85675"
Cherish Farm Fresh Eatery,Chandler,"33.26135, -111.88520"
Phuket Thai Cuisine,Chandler,"33.24660, -111.84246"
Fiesta Mexicana Restaurant Chandler,Chandler,"33.23522, -111.85831"
Stone & Vine Urban Italian,Chandler,"33.26102, -111.85928"
Original ChopShop,Chandler,"33.30245, -111.84198"
The Brickyard Downtown,Chandler,"33.30242, -111.84250"
Singing Pandas Asian Restaurant & Bar,Chandler,"33.30600, -111.82880"
DC Steak House,Chandler,"33.30138, -111.84165"
Pitta Souvli,Chandler,"33.27719, -111.86038"
Board & Brew - Tempe,Tempe,"33.41774, -111.92608"
Culinary Dropout,Tempe,"33.42877, -111.94398"
Viet Shack,Tempe,"33.35048, -111.96380"
House of Tricks,Tempe,"33.42365, -111.93738"
RigaTony's Authentic Italian Restaurant,Tempe,"33.33524, -111.90843"
8282 Food,Tempe,"33.34825, -111.94528"
Manuel's Mexican Restaurant & Cantina | Chandler,Chandler,"33.27135, -111.83498"
The Chuckbox,Tempe,"33.42237, -111.93639"
MAD Greens - Tempe Marketplace,Tempe,"33.43369, -111.90156"
Portillo's Hot Dogs,Tempe,"33.43016, -111.90856"
Old Town Taste,Tempe,"33.40692, -111.90793"
Flo's - New Asian Cuisine,Tempe,"33.37898, -111.93020"
Red White and Brew,Mesa,"33.46703, -111.68500"
Bobby-Q BBQ Restaurant and Steakhouse,Mesa,"33.41540, -111.80725"
Taquitos Jalisco,Mesa,"33.43540, -111.78940"
Haven Burgers,Mesa,"33.41566, -111.81825"
Princess Market Mediterranean Deli and Restaurant,Mesa,"33.40841, -111.88784"
India Oven,Mesa,"33.39184, -111.78794"
Cornish Pasty Co,Mesa,"33.36292, -111.87602"
Yoko Fast Food,Mesa,"33.39337, -111.78662"
Zur Kate German Restaurant,Mesa,"33.41523, -111.72683"
Green Corner Restaurant,Mesa,"33.39438, -111.85348"
Aloha Kitchen,Mesa,"33.36101, -111.85968"
Intentional Foods (IF Cafe & Market),Mesa,"33.36316, -111.87455"
Soda Bun Thai Food,Mesa,"33.36550, -111.86057"
Taste of Peru,Mesa,"33.36357, -111.86012"
Macayo's Mexican Food,Mesa,"33.38611, -111.87867"
Top Cup Coffee House,Gilbert,"33.22104, -111.75502"
SoZo Coffee House,Chandler,"33.33365, -111.86087"
The Coffee Shop,Gilbert,"33.32210, -111.72627"
